id,districtId,name
618,150,Banjar Jawa
619,150,Banjar Tegal
620,162,Banjar Tegeha
621,159,Banjar Tengah
622,140,Banjarangkan
623,163,Banjarasem
624,142,Bantang
625,164,Bantas
626,142,Banua
627,159,Banyu Biru
628,150,Banyuasri
629,162,Banyuatis
630,150,Banyuning
631,165,Banyupoh
632,162,Banyuseri
633,166,Baru
634,166,Batannyuh
635,148,Batu Agung
636,167,Batuaji
637,168,Batuan
638,168,Batuan Kaler
639,168,Batubulan
640,168,Batubulan Kangin
641,142,Batudinding
642,142,Batukaang
643,169,Batukandik
644,169,Batumadeg
645,170,Batungsel
646,169,Batununggul
647,154,Batunya
648,142,Batur Selatan
649,142,Batur Tengah
650,142,Batur Utara
651,160,Baturinggit
652,167,Baturiti
653,154,Baturiti
654,142,Bayung Cerik
655,142,Bayung Gede
656,171,Bebalang
657,172,Bebandem
658,173,Bebetin
659,174,Bedulu
660,143,Belalang
661,142,Belancan
662,142,Belandingan
663,142,Belanga
664,142,Belantih
665,170,Belatungan
666,174,Belega
667,170,Belimbing
668,175,Belimbingsari
669,176,Belok/Sidan
670,167,Belumbang
671,145,Beng
672,177,Bengkala
673,143,Bengkel
674,178,Bengkel
675,153,Bengkel Sari
676,179,Benoa
677,164,Beraban
678,143,Beraban
679,159,Berangbang
680,150,Beratan
681,155,Berembeng
682,166,Beringkit Belayu
683,180,Besakih
684,181,Besan
685,163,Bestala
686,158,Biaung
687,177,Bila
688,142,Binyan
689,145,Bitera
690,174,Blahbatuh
691,146,Blahkiuh
692,174,Bona
693,182,Bondalem
694,183,Bongan
695,146,Bongkasa
696,146,Bongkasa Pertiwi
697,177,Bontihing
698,142,Bonyoh
699,184,Bresela
700,183,Buahan
701,184,Buahan
702,142,Buahan
703,184,Buahan Kaja
704,172,Bhuana Giri
705,163,Bubunan
706,172,Budakeling
707,148,Budeng
708,144,Buduk
709,185,Bugbug
710,184,Bukian
711,185,Bukit
712,177,Bukti
713,177,Bulian
714,169,Bunga Mekar
715,172,Bungaya
716,172,Bungaya Kangin
717,140,Bungbungan
718,173,Bungkulan
719,141,Bunutan
720,171,Bunutin
721,142,Bunutin
722,158,Buruan
723,174,Buruan
724,178,Busungbiu
725,143,Buwit
726,154,Candikuning
727,175,Candikusuma
728,186,Canggu
729,176,Carangsari
730,142,Catur
731,166,Cau Belayu
732,168,Celuk
733,165,Celukanbawang
734,144,Cemagi
735,171,Cempaga
736,162,Cempaga
737,143,Cepaka
738,141,Culik
739,159,Cupel
740,183,Dajan Peken
741,164,Dalang
742,186,Dalung
743,187,Dangin Puri
744,188,Dangin Puri Kaja
745,188,Dangin Puri Kangin
746,188,Dangin Puri Kauh
747,187,Dangin Puri Kelod
748,148,Dangin Tukadaya
749,146,Darmasaba
750,141,Datah
751,183,Dauh Peken
752,189,Dauh Puri
753,188,Dauh Puri Kaja
754,189,Dauh Puri Kangin
755,189,Dauh Puri Kauh
756,189,Dauh Puri Kelod
757,148,Dauhwaru
758,142,Daup
759,142,Dausa
760,181,Dawan Kaler
761,181,Dawan Kelod
762,183,Delod Peken
763,190,Delodberawah
764,147,Demulih
765,183,Denbantas
766,162,Dencarik
767,177,Depeha
768,152,Duda
769,152,Duda Timur
770,152,Duda Utara
771,160,Dukuh
772,175,Ekasari
773,164,Gadungan
774,164,Gadungsari
775,173,Galungan
776,156,Gegelang
777,149,Gelgel
778,166,Geluntung
779,165,Gerokgak
780,162,Gesing
781,140,Getakan
782,176,Getasan
783,145,Gianyar
784,173,Giri Emas
785,151,Gitgit
786,162,Gobleg
787,183,Gubug
788,144,Gulingan
789,157,Gumbrih
790,181,Gunaksa
791,164,Gunung Salak
792,142,Gunungbau
793,163,Gunungsari
794,168,Guwang
795,146,Jagapati
796,173,Jagaraga
797,158,Jatiluwih
798,158,Jegu
799,161,Jehem
800,170,Jelijih Punggung
801,179,Jimbaran
802,150,Jinangdalem
803,163,Joanyar
804,182,Julah
805,149,Jumpai
806,172,Jungutan
807,169,Jungutbatu
808,143,Kaba-Kaba
809,159,Kaliakah
810,163,Kalianget
811,162,Kaliasem
812,150,Kalibukbuk
813,163,Kalisada
814,150,Kaliuntu
815,149,Kamasan
816,150,Kampung Anyar
817,150,Kampung Baru
818,150,Kampung Bugis
819,149,Kampung Gelgel
820,150,Kampung Kajanan
821,181,Kampung Kusamba
822,150,Kampung Singaraja
823,169,Kampung Toyapakeh
