id,provinceId,name
112,10,Kota Bandar Lampung
113,10,Pesisir Barat
114,10,Lampung Barat
115,10,Tanggamus
116,10,Mesuji
117,10,Kota Metro
118,10,Lampung Selatan
119,10,Lampung Tengah
120,10,Lampung Utara
121,10,Pesawaran
122,10,Tulang Bawang
123,10,Lampung Timur
124,10,Tulang Bawang Barat
125,10,Pringsewu
126,11,Kota Palembang
127,11,Lahat
128,11,Ogan Komering Ilir
129,11,Ogan Komering Ulu Timur
130,11,Kota Pagar Alam
131,11,Ogan Komering Ulu Selatan
132,11,Muara Enim
133,11,Musi Banyuasin
134,11,Banyuasin
135,11,Musi Rawas
136,11,Musi Rawas Utara
137,11,Ogan Komering Ulu
138,11,Penukal Abab Lematang Ilir
139,11,Empat Lawang
140,11,Kota Lubuk Linggau
141,11,Kota Prabumulih
142,11,Ogan Ilir
